TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2021,ACCT,5375,1,28823,Internl Audit-Entity Ctrl Env,Leavins,Johnny R,3,3,0,0,0,0,3.5
Spring 2021,GEOL,8698,6,30307,Doctoral Research,Zhou,Hua-Wei,0,0,0,0,0,0,0
Spring 2021,SPEC,6349,1,24980,Intro to Educ of Gifted/Talent,Hassett,Kristen Spring,2,0,0,0,0,0,4
Spring 2021,BIOE,8399,6,20693,Doctoral Dissertation,Larin,Kirill,1,0,0,0,0,0,1.333
Spring 2021,BIOL,1162,22,13870,Intro To Biol Science Lab 2,Medrano,Ana I,19,2,0,0,0,0,3.565
Spring 2021,BTEC,6302,30,22615,Intro to Regulatory Affairs,Flavier,Albert B,3,3,0,0,0,0,2.034
Spring 2021,ART,4304,2,28500,Senior Painting Major II,Hecker,Rachel G,5,1,0,0,0,0,3.286
Spring 2021,BIOL,6110,1,13907,Biology Seminar,Sater,Amy,0,0,0,0,0,0,0
Spring 2021,MECE,7399,24,31156,Masters Thesis,Chen,Zheng,1,0,0,0,0,0,3.67
Spring 2021,DIGM,3152,33,21153,Graphic Comm Output Lab,Dawson,Michael John,5,0,0,0,0,1,4
Spring 2021,MUSA,2344,2,29240,Applied Trombone,Kauk,Brian Keith,1,0,0,0,0,0,4
Spring 2021,SOCW,8699,3,31088,Dissertation,Robbins,Susan P,1,0,0,0,0,0,4
Spring 2021,HLT,4307,6,30094,Research and Eval in Health,Correa-Fernandez,Virmarie,3,3,0,0,0,3,2.034
Spring 2021,MUSA,2378,1,29938,Applied Jazz Guitar,Wheeler,Mike,2,0,0,0,0,0,4
Spring 2021,BCHS,4355,1,27577,Eukaryotic Gene Regulation,Schwartz,Robert J,4,3,0,0,0,0,3.571
Spring 2021,ECE,8298,3,16894,Doctoral Research,Chen,Jiefu,0,0,0,0,0,0,0
Spring 2021,INDE,8398,4,14918,Doctoral Research,Lim,Gino Jinho,0,0,0,0,0,0,0
Spring 2021,MECE,8198,23,30958,Doctoral Research,Sun,Li,0,0,0,0,0,0,0
Spring 2021,BZAN,4397,2,23604,Sel Topics in Bus Analytics,Ma,Xiao,1,0,0,0,0,0,4
Spring 2021,COSC,3399,2,31403,Senior Honors Thesis,Solorio Martinez,Thamar Ivette,1,0,0,0,0,0,4
Spring 2021,HRMA,8999,2,31074,Dissertation III in Hosp Admin,Sirsat,Sujata Ashok,0,0,0,0,0,0,0
Spring 2021,COMD,7692,1,17748,Advanced Practicum,Blake,Margaret T,3,0,0,0,0,0,3.67
Spring 2021,MECE,6397,2,27679,Selected Topics,Agrawal,Ashutosh,6,1,0,0,0,0,3.763
Spring 2021,MUSA,2338,2,29233,Applied Saxophone,Witt,Woodrow W,1,0,0,0,0,0,4
Spring 2021,GEOL,8398,13,30936,Doctoral Research,Rappenglueck,Bernhard,0,0,0,0,0,0,0
Spring 2021,GEOL,8698,7,30450,Doctoral Research,Lapen,Thomas J,0,0,0,0,0,0,0
Spring 2021,HON,4298,1,18817,Independent Study,LeVeaux,Christine,1,0,0,0,0,0,2
Spring 2021,ECE,8298,1,16892,Doctoral Research,Krishnamoorthy,Harish Sarma,0,0,0,0,0,0,0
Spring 2021,LAW,5107,1,29595,Applied Advocacy I,Lawrence,Jim E,0,0,0,0,0,0,0
Spring 2021,ECE,8298,24,16915,Doctoral Research,Litvinov,Dmitri,0,0,0,0,0,0,0
Spring 2021,PUBL,6349,1,19918,Seminar in Non-Profit Mgmt,Glaus Late,Kimberly,1,1,0,0,0,0,2.333
Spring 2021,ENGL,8698,1,25459,Graduate Research,Mazella,David S,0,0,0,0,0,0,0
Spring 2021,CUIN,8699,5,25988,Doctoral Dissertation,Andrews,Nicole M,1,0,0,0,0,0,2
Spring 2021,CIVE,8598,6,16463,Doctoral Research,Shaffer,Devin,0,0,0,0,0,0,0
Spring 2021,PHLS,7393,3,27751,Internship and Practicum,Hassett,Kristen Spring,7,0,0,0,0,0,4
Spring 2021,MECE,8398,31,30086,Doctoral Research,Joshi,Shailendra Pramod,0,0,0,0,0,0,0
Spring 2021,PHYS,8698,13,28883,Doctoral Research,Hosur,Pavan R,0,0,0,0,0,0,0
Spring 2021,PEP,7307,1,19879,Implmtng Leg Strat Sprts/Fit,Cottingham,Michael,3,1,0,0,0,0,3
Spring 2021,IART,3395,4,29805,Sel Topics in Interdis Arts,Meza,Abinadi,1,1,0,0,0,0,3.5
Spring 2021,ARLD,6691,1,21324,Internship in Arts Organizatn,Luks Jacobs,Joel,1,0,0,0,0,0,4
