TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA,HELPER
Fall 2025,BIOL,1106,31,Biol for Science Majors I(Lab),Medrano,Ana I,18,3,1,0,,2,3.445,BIOL1106
Fall 2025,BIOL,1106,32,Biol for Science Majors I(Lab),Medrano,Ana I,17,6,0,0,,1,3.625,BIOL1106
Fall 2025,BIOL,1106,33,Biol for Science Majors I(Lab),Medrano,Ana I,19,3,0,0,,2,3.487,BIOL1106
Fall 2025,BIOL,1106,35,Biol for Science Majors I(Lab),Medrano,Ana I,16,5,2,0,,1,3.431,BIOL1106
Fall 2025,BIOL,1106,36,Biol for Science Majors I(Lab),Medrano,Ana I,20,1,0,1,1,1,3.5,BIOL1106
Fall 2025,BIOL,1106,37,Biol for Science Majors I(Lab),Medrano,Ana I,17,2,0,3,,2,3.222,BIOL1106
Fall 2025,BIOL,1106,38,Biol for Science Majors I(Lab),Medrano,Ana I,22,1,0,0,,1,3.778,BIOL1106
Fall 2025,BIOL,1106,39,Biol for Science Majors I(Lab),Medrano,Ana I,21,1,0,0,,2,3.57,BIOL1106
Fall 2025,BIOL,1106,40,Biol for Science Majors I(Lab),Medrano,Ana I,16,4,1,0,,3,3.264,BIOL1106
Fall 2025,BIOL,1106,41,Biol for Science Majors I(Lab),Medrano,Ana I,18,3,0,2,,1,3.458,BIOL1106
Fall 2025,BIOL,1106,44,Biol for Science Majors I(Lab),Medrano,Ana I,19,3,2,0,,,3.681,BIOL1106
Fall 2025,BIOL,1106,45,Biol for Science Majors I(Lab),Medrano,Ana I,16,7,1,0,,,3.598,BIOL1106
Fall 2025,BIOL,1106,46,Biol for Science Majors I(Lab),Medrano,Ana I,10,11,1,0,,2,3.098,BIOL1106
Fall 2025,BIOL,1106,47,Biol for Science Majors I(Lab),Medrano,Ana I,20,3,0,0,,1,3.653,BIOL1106
Fall 2025,BIOL,1106,48,Biol for Science Majors I(Lab),Medrano,Ana I,16,4,1,1,,2,3.292,BIOL1106
Fall 2025,BIOL,1106,02,Biol for Science Majors I(Lab),Medrano,Ana I,18,3,0,0,2,,3.393,BIOL1106
Fall 2025,BIOL,1106,06,Biol for Science Majors I(Lab),Medrano,Ana I,21,2,0,0,,,3.899,BIOL1106
Fall 2025,BIOL,1106,09,Biol for Science Majors I(Lab),Medrano,Ana I,16,4,2,0,,1,3.407,BIOL1106
Fall 2025,BIOL,1106,11,Biol for Science Majors I(Lab),Medrano,Ana I,11,10,1,0,1,,3.304,BIOL1106
Fall 2025,BIOL,1106,12,Biol for Science Majors I(Lab),Medrano,Ana I,13,5,2,1,1,1,3.13,BIOL1106
Fall 2025,BIOL,1106,24,Biol for Science Majors I(Lab),Medrano,Ana I,16,3,1,2,,1,3.319,BIOL1106
Fall 2025,BIOL,1106,34,Biol for Science Majors I(Lab),Medrano,Ana I,20,1,1,1,,,3.682,BIOL1106
Fall 2025,BIOL,1106,42,Biol for Science Majors I(Lab),Medrano,Ana I,14,4,3,0,1,1,3.232,BIOL1106
Fall 2025,BIOL,1106,43,Biol for Science Majors I(Lab),Medrano,Ana I,15,5,3,0,,,3.522,BIOL1106
Fall 2025,BIOL,1106,16,Biol for Science Majors I(Lab),Medrano,Ana I,17,2,2,0,,1,3.53,BIOL1106
Fall 2025,BIOL,2301,01,Anatomy & Physiology I (lect),Wayne,Chad M,56,103,91,53,28,86,1.806,BIOL2301
Fall 2025,BIOL,2301,02,Anatomy & Physiology I (lect),Gill,Tejendra,63,156,116,32,21,27,2.377,BIOL2301
Fall 2025,BIOL,3301,01,Genetics,Lin,Chin-Yo,115,57,22,3,2,3,3.314,BIOL3301
Fall 2025,BIOL,3301,04,Genetics,Dauwalder,Brigitte,60,48,38,17,8,22,2.427,BIOL3301
Fall 2025,BIOL,3301,03,Genetics,Meisel,Richard P,40,63,44,16,7,15,2.392,BIOL3301
Fall 2025,BIOL,3301,02,Genetics,Lin,Chin-Yo,90,55,21,4,3,2,3.24,BIOL3301
Fall 2025,BIOL,2101,01,Anatomy & Physiology Lab I,Gill,Tejendra,1,11,5,4,1,2,2.139,BIOL2101
Fall 2025,BIOL,2101,05,Anatomy & Physiology Lab I,Gill,Tejendra,2,9,4,1,4,4,1.847,BIOL2101
Fall 2025,BIOL,2101,06,Anatomy & Physiology Lab I,Gill,Tejendra,7,8,4,1,2,2,2.514,BIOL2101
Fall 2025,BIOL,2101,07,Anatomy & Physiology Lab I,Gill,Tejendra,9,9,5,1,,,3.056,BIOL2101
Fall 2025,BIOL,2101,08,Anatomy & Physiology Lab I,Gill,Tejendra,6,7,6,3,1,1,2.486,BIOL2101
Fall 2025,BIOL,2101,10,Anatomy & Physiology Lab I,Gill,Tejendra,7,7,4,3,1,2,2.459,BIOL2101
Fall 2025,BIOL,2101,11,Anatomy & Physiology Lab I,Gill,Tejendra,6,13,2,1,1,1,2.792,BIOL2101
Fall 2025,BIOL,2101,16,Anatomy & Physiology Lab I,Gill,Tejendra,5,6,4,4,1,4,2.083,BIOL2101
Fall 2025,BIOL,2101,18,Anatomy & Physiology Lab I,Gill,Tejendra,3,14,4,3,,,2.695,BIOL2101
Fall 2025,BIOL,2101,21,Anatomy & Physiology Lab I,Gill,Tejendra,5,6,2,6,2,3,1.986,BIOL2101
Fall 2025,BIOL,2101,22,Anatomy & Physiology Lab I,Gill,Tejendra,6,8,3,0,1,6,2.25,BIOL2101
Fall 2025,BIOL,2101,23,Anatomy & Physiology Lab I,Gill,Tejendra,6,10,3,3,2,,2.57,BIOL2101
Fall 2025,BIOL,2101,25,Anatomy & Physiology Lab I,Gill,Tejendra,7,8,5,1,1,2,2.556,BIOL2101
Fall 2025,BIOL,2101,02,Anatomy & Physiology Lab I,Gill,Tejendra,7,7,4,3,1,1,2.537,BIOL2101
Fall 2025,BIOL,2101,03,Anatomy & Physiology Lab I,Gill,Tejendra,3,12,4,2,1,1,2.522,BIOL2101
Fall 2025,BIOL,2101,04,Anatomy & Physiology Lab I,Gill,Tejendra,2,15,3,1,1,1,2.623,BIOL2101
Fall 2025,BIOL,2101,09,Anatomy & Physiology Lab I,Gill,Tejendra,4,14,3,2,,,2.841,BIOL2101
Fall 2025,BIOL,2101,13,Anatomy & Physiology Lab I,Gill,Tejendra,8,9,4,1,,1,2.957,BIOL2101
