TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2014",COMD,7391,5,"Clinic in Speech Lang Disorder",Ross,"Byron L",,,,,,,
"Summer 2014",COMD,7391,6,"Clinic in Speech Lang Disorder",Ortolan,"Tina Kay",,,,,,,
"Summer 2014",COMD,7391,7,"Clinic in Speech Lang Disorder",Ortolan,"Tina Kay",,,,,,,
"Summer 2014",COMD,7391,8,"Clinic in Speech Lang Disorder",Cizek,"Laura S",,,,,,,
"Summer 2014",COMD,7391,9,"Clinic in Speech Lang Disorder",Cizek,"Laura S",,,,,,,
"Summer 2014",COMD,7391,10,"Clinic in Speech Lang Disorder",Sims,"Frankie B",,,,,,,
"Summer 2014",COMD,7391,11,"Clinic in Speech Lang Disorder",Gonzalez,"Rebecca C",,,,,,,
"Summer 2014",COMD,7391,12,"Clinic in Speech Lang Disorder",Maher,"Lynn M",,,,,,,
"Summer 2014",CUIN,7331,1,"Diag & Correctn Reading Probl",Westfall,"Dawn Marie",,,,,,,
"Summer 2014",CUIN,8310,26,"Laboratory of Practice",McNeil,"Sara G",,,,,,,
"Summer 2014",CUIN,8398,1,"Independent Study",Mountain,"Mignonette H",,,,,,,
"Summer 2014",ELCS,6310,1,"Interpersonal Communications",Busch,"Steven D",,,,,,,
"Summer 2014",GEOL,1130,6,"Physical Geology Lab",Nelson,"Wendy Rae",,,,,,,
"Summer 2014",GEOL,1130,6,"Physical Geology Lab",Sisson,"Virginia B",,,,,,,
"Summer 2014",HLT,6392,1,"Field Work in Hlth Ed",Olvera,"Norma E",,,,,,,
"Summer 2014",HRMA,3257,1,"Hotel Gaming Ops: Nevada I",Bowen,"John T",,,,,,,
"Summer 2014",KIN,4390,1,"Internship in PE",Betts,"Randi Jill",,,,,,,
"Summer 2014",MANA,8331,1,"Seminar in Organization Theory",Keller,"Robert T",,,,,,,
"Summer 2014",OPTO,5298,2,"Spec Prob - Clerkship",Boltz,"Roger L",,,,,,,
"Summer 2014",PHAR,5642,1,"Emergency Medicine",Ordonez,"Nancy D",,,,,,,
"Summer 2014",PHAR,5668,1,"Managed Care Pharmacy",Masilamani,Kamalasanthi,,,,,,,
"Summer 2014",PSYC,4398,8,"Independent Study",Tackett,"Jennifer L",,,,,,,
"Summer 2014",SOCW,7360,11,"Intl SW:A Comparative Approach",Torres,"Melissa Irene",,,,,,,
"Summer 2014",SOCW,7360,11,"Intl SW:A Comparative Approach",Torres-Hostos,"Luis R",,,,,,,
"Summer 2014",ACCT,7398,1,Research,Newman,"Michael Ray",,,,,,,
"Summer 2014",CUIN,8352,1,"Adv Seminar in Instruct Tech",Lee,"Mimi Miyoung",,,,,,,
"Summer 2014",PUBL,6325,1,"Capstone Problem Project",Thurmond,"James H",,,,,,,
"Summer 2014",SOCW,7397,1,"Selected Topics in Social Work",Kao,"Dennis T",,,,,,,
