TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2018",BIOL,8598,33,"Doctoral Research",Lekven,Arne,,,,,,,
"Spring 2018",BIOL,8598,34,"Doctoral Research",McKeon,"Frank D",,,,,,,
"Spring 2018",BIOL,8698,2,"Doctoral Research",Graur,Dan,,,,,,,
"Spring 2018",BIOL,8698,13,"Doctoral Research",Zufall,"Rebecca A",,,,,,,
"Spring 2018",BIOL,8698,16,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Spring 2018",BIOL,8698,28,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Spring 2018",BIOL,8698,29,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Spring 2018",BIOL,8698,30,"Doctoral Research","Kelleher Meisel","Erin S",,,,,,,
"Spring 2018",BIOL,8698,31,"Doctoral Research",McKeon,"Frank D",,,,,,,
"Spring 2018",BIOL,8698,7,"Doctoral Research",Dauwalder,Brigitte,,,,,,,
"Spring 2018",BIOL,8699,30,"Doctoral Dissertation",Ziburkus,Jokubas,,,,,,,
"Spring 2018",BIOL,8999,15,"Doctoral Dissertation",Azevedo,Ricardo,,,,,,,
"Spring 2018",BTEC,6399,1,"Masters Thesis in BTEC",Ganapathy,Sivakumar,,,,,,,
"Spring 2018",CHEE,6111,1,"Graduate Seminar",Harold,"Michael P",,,,,,,
"Spring 2018",CHEE,6398,5,Research,Willson,Richard,,,,,,,
"Spring 2018",CHEE,6398,8,Research,Harold,"Michael P",,,,,,,
"Spring 2018",CHEE,8198,1,"Doctoral Research",Luss,Dan,,,,,,,
"Spring 2018",CHEE,8198,4,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Spring 2018",CHEE,8198,6,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8198,7,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Spring 2018",CHEE,8198,10,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Spring 2018",CHEE,8198,11,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Spring 2018",CHEE,8198,15,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2018",CHEE,8198,16,"Doctoral Research",Vekilov,Peter,,,,,,,
"Spring 2018",CHEE,8298,1,"Doctoral Research",Qin,Guan,,,,,,,
"Spring 2018",CHEE,8298,2,"Doctoral Research",Robertson,"Megan L",,,,,,,
