TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2020,MECT,4326,1,Fundamentals Offshore Systems,Al-Jamal,Helmi,3,6,1,0,0,12,0,0,1.377
Summer 2020,PHAR,5681,2,Infectious Diseases,Ordonez,Nancy D,4,1,0,0,0,0,0,0,3.8
Summer 2020,PSYC,4398,2,Independent Study,Babcock,Julia,1,0,0,0,0,0,0,0,4
Summer 2020,FINA,6335,1,Managerial Finance,Lopez,John C,4,0,0,0,0,0,0,0,4
Summer 2020,SOCW,8398,1,Independent Study,Robbins,Susan P,1,0,0,0,0,0,0,0,4
Summer 2020,CHEE,8298,13,Doctoral Research,Cirino,Patrick C,0,0,0,0,0,0,2,0,0
Summer 2020,GEOL,6372,1,Petroleum Geochemistry,Bissada,Kadry K,1,5,0,0,0,0,0,0,3.332
Summer 2020,GEOL,6372,1,Petroleum Geochemistry,Van Nieuwenhuise,Donald S,1,5,0,0,0,0,0,0,3.332
Summer 2020,PHOP,8399,6,Doctoral Dissertation,Coulson-Thomas,Vivien J,1,0,0,0,0,0,0,0,4
Summer 2020,BIOE,8198,20,Doctoral Research,Das,Mini,0,0,0,0,0,1,0,0,0
Summer 2020,ART,4398,4,Independent Study,Montoya,Delilah,4,1,0,0,0,0,0,0,3.734
Summer 2020,ECE,8699,23,Doctoral Dissertation,Pei,Shin-Shem Steven,0,0,0,0,0,0,0,0,0
Summer 2020,BIOL,6698,17,Special Problems,Peng,Weiyi,0,0,0,0,0,2,0,0,0
Summer 2020,PHOP,6567,5,Research Practicum A,Coulson-Thomas,Vivien J,0,1,0,0,0,0,0,0,2.67
Summer 2020,CIVE,8198,19,Doctoral Research,Li,Hongyi,0,0,0,0,0,1,0,0,0
Summer 2020,CIVE,8399,2,Doctoral Dissertation,Belarbi,Abdeldjelil,1,0,0,0,0,0,0,0,4
Summer 2020,COSC,8699,114,Doctoral Dissertation,Kakadiaris,Ioannis A.,1,0,0,0,0,0,0,0,4
Summer 2020,GEOL,8698,23,Doctoral Research,Maddocks,Rosalie F,0,0,0,0,0,1,0,0,0
Summer 2020,LAW,5127,1,Advocates-Newhouse Med. Retro,Lawrence,Jim E,0,0,0,0,0,2,0,0,0
Summer 2020,LAW,5206,4,Govt Nonprofit Extshp II,Hancock,Amy Sladczyk,0,0,0,0,0,1,0,0,0
Summer 2020,ECE,8298,8,Doctoral Research,Shireen,Wajiha,0,0,0,0,0,1,0,0,0
Summer 2020,BCHS,6698,13,Special Problems,Gunaratne,Preethi H,0,0,0,0,0,1,0,0,0
Summer 2020,LAW,5603,1,Govt Nonprofit Extshp II,Van Arsdel,Kristina G,0,0,0,0,0,1,0,0,0
Summer 2020,ELCS,6301,1,Leadership for Equity,Butcher,Keith,15,0,0,0,0,0,0,0,4
Summer 2020,MECE,8399,11,Doctoral Dissertation,Song,Gangbing,1,0,0,0,0,0,0,0,4
Summer 2020,MECE,8598,7,Doctoral Research,Ryou,Jae-Hyun,0,0,0,0,0,1,0,0,0
Summer 2020,MATH,1330,1,Precalculus,Almus,Melahat,23,25,5,0,0,7,0,2,2.797
Summer 2020,ELCS,8397,1,Sem Top Ed Ldshp&Cul St,Hawkins,Jacqueline McLean,14,2,0,0,0,0,0,0,3.71
Summer 2020,GENB,7397,1,Selected Topics,Miljanic,Andra Olivia,8,2,0,0,0,0,0,0,3.833
Summer 2020,PSYC,8399,11,Doctoral Dissertation,Leasure,Jennifer Leigh,1,0,0,0,0,0,0,0,4
Summer 2020,BIOL,6698,12,Special Problems,Meisel,Richard P,0,0,0,0,0,1,0,0,0
Summer 2020,SPAN,4397,1,Topics in Hispanic Writing,Cuesta,Mabel,14,0,0,0,0,0,0,0,3.689
Summer 2020,SCLT,4312,30,Inventory & Materials Handling,Blount,James,19,3,2,0,0,5,0,1,2.74
Summer 2020,BIOE,6343,1,Global Healthcare,Akay,Yasemin M,16,4,0,0,0,1,0,0,3.493
Summer 2020,SOCW,7347,3,SW Practice & Interv in School,Lucas,Virginia,24,1,0,0,0,0,0,0,3.894
Summer 2020,CHEM,1111,9,Fundamentals of Chm Lab,Zaitsev,Vladimir G,6,7,1,0,0,6,0,1,2.383
Summer 2020,ENGL,1303,3,First Year Writing I,Downey,Carlton M,13,4,0,0,0,0,0,1,3
Summer 2020,CIS,3355,1,Integrated Information Systems,Miertschin,Susan L,17,14,2,0,0,9,0,1,2.598
Summer 2020,MECE,8498,17,Doctoral Research,Yu,Cunjiang,0,0,0,0,0,3,0,0,0
Summer 2020,PHYS,8698,28,Doctoral Research,Ren,Zhifeng,0,0,0,0,0,10,0,0,0
Summer 2020,MATH,3333,1,Intermediate Analysis,Ji,Shanyu,14,14,0,0,0,5,0,0,2.95
Summer 2020,PSYC,1300,3,Intro To Psychology,Carlos,Brandon J,37,17,0,0,0,6,0,0,3.278
Summer 2020,LAW,5197,1,Selected Topics,Dykes,Christopher,0,0,0,0,0,26,0,0,0
Summer 2020,PEP,7308,1,Sports Facility Administration,Pearson,Demetrius W,10,3,0,0,0,1,0,0,3.476
Summer 2020,HLT,3325,1,Medical Terminology,Bloom,Joel A,65,9,1,0,0,4,0,1,3.65
Summer 2020,PHYS,8698,25,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,3,0,0,0
Summer 2020,ENGL,7396,2,Topics in Language & Literatre,Majumder,Auritro,7,0,0,0,0,0,0,0,3.906
Summer 2020,MUSI,1171,1,Aural Skills II,Garza,Paul Victor,3,2,1,0,0,9,0,1,1.093
Summer 2020,LAW,5410,1,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,0,0
Summer 2020,ECE,8198,4,Doctoral Research,Li,Xingpeng,0,0,0,0,0,3,0,0,0
Summer 2020,ECON,8699,14,Doctoral Dissertation,Sorensen,Bent E,0,0,0,0,0,0,0,0,0
Summer 2020,HRMA,8399,2,Dissertation I in Hosp. Admin,Lee,Minwoo,0,0,0,0,0,1,0,0,0
Summer 2020,LAW,5602,1,Govt Nonprofit Extshp I,Van Arsdel,Kristina G,0,0,0,0,0,8,0,0,0
Summer 2020,PHLS,7301,1,Practicum,Stulmaker,Hayley Lurie,0,0,0,0,0,10,0,0,0
Summer 2020,PHYS,8698,18,Doctoral Research,Koerner,Lisa Whitehead,0,0,0,0,0,3,0,0,0
