TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Spring 2022,SOCI,1301,9,25663,Introduction To Sociology,Colbert,Sharla Stettnisch,33,4,2,1,1,0,0,0,8,3.634
Spring 2022,ARCH,2351,1,13977,Survey of Arch History II,Ramaswamy,Deepa,100,47,9,5,3,0,0,0,5,3.359
Spring 2022,CIS,3367,1,20467,Cloud Computing Architecture,Martinez,Jose C,14,21,13,3,2,0,0,0,7,2.786
Spring 2022,HLT,1353,1,14654,Personal Health,Rafique,Kiran Sajid,101,10,5,0,0,0,0,0,3,3.785
Spring 2022,ENGL,1302,118,26025,First Year Writing II,Swensen,Russel,6,9,2,0,3,0,0,0,1,2.668
Spring 2022,HRMA,3420,1,19991,Foodservice Operations,Ginapp,Kathrine,21,6,3,0,0,0,0,0,1,3.567
Spring 2022,MIS,7378,1,16108,Info.Tech Management & Control,Porra,Jaana,32,1,0,0,0,0,0,0,0,3.97
Spring 2022,TLIM,3365,30,19757,Team Leadership,Burns,Maria,49,3,0,0,0,0,0,0,1,3.917
Spring 2022,MARK,7368,1,16230,Integrated Marketng Commncatns,Morabito,Philip A,26,5,0,0,0,0,0,0,0,3.722
Spring 2022,CIS,4339,2,18810,Enterprise Appls Development,Lindner,Peggy,13,21,6,4,7,0,0,0,3,2.601
Spring 2022,HRMA,6360,1,14697,Graduate Directed Practicum,Back,KiJoon,13,0,0,0,0,0,0,0,0,4
Spring 2022,HON,2341,26,25309,Classics of Modernity,Cremins,Robert Paul,5,2,0,1,3,0,0,0,0,2.485
Spring 2022,HON,3397,1,25356,Honors Selected Topics,Bland,Laura Elizabeth,17,2,1,0,0,0,0,0,1,3.817
Spring 2022,KIN,3301,1,17514,Design/Eval Phys Activity Prog,Gray,Jon Phillip,42,9,1,1,2,0,0,0,0,3.588
Spring 2022,BIOE,4336,1,17053,Capstone Design II,Chen,Ting,45,4,0,0,0,0,0,0,0,3.811
Spring 2022,HRMA,3358,2,18771,Hospitality Industry Law,Abbott,Jeanna L,23,7,8,5,6,0,0,0,1,2.714
Spring 2022,PSYC,4397,2,25792,Selected Topics in Psychology,Alfano,Candice A,7,8,8,4,0,0,0,0,2,2.654
Spring 2022,BIOL,1197,1,23385,Selected Topics in Biology,Ogletree-Hughes,Monique L,26,1,2,4,5,0,0,0,0,2.974
Spring 2022,SOCW,7329,2,16641,SW Practice for Policy Change,Ortiz,Lillian Aguirre,27,0,0,0,0,0,0,0,0,3.963
Spring 2022,BZAN,6351,2,25104,Basic Prog for Busi Analytics,Wang,Cheng,20,4,0,0,0,0,0,0,0,3.806
Spring 2022,PHIL,3395,4,24552,Selected Topics in Phil,Carrera,Alessandro,5,0,1,1,0,0,0,0,2,3.191
Spring 2022,ENGL,4378,1,20938,Women Writers,Stock,Lorraine K,3,5,1,0,0,0,0,0,2,3.186
Spring 2022,WGSS,2350,3,17436,Intro To Women's Studies,Ford-McCartney,Devan Shontrell,28,2,0,0,0,0,0,0,0,3.911
Spring 2022,COMM,2327,2,22165,Introduction to Screen Writing,Vaughan,Thomas Michael,18,4,2,0,1,0,0,0,0,3.546
Spring 2022,ENGL,2361,14,25218,Western World Lit II--Honors,Wallace,Daniel,1,1,0,0,0,0,0,0,0,3.17
Spring 2022,WGSS,2360,7,26189,Introduction to LGBT Studies,Stone,Lauren Michelle,14,8,4,1,2,0,0,0,1,3.069
Spring 2022,PHOP,6198,28,17587,Spec Prob-Physio Optics,Marsack,Jason,1,0,0,0,0,0,0,0,0,4
Spring 2022,PHYS,3316,1,17736,Quantum Mechanics,Ordonez,Carlos,6,4,6,2,1,0,0,0,3,2.579
Spring 2022,FINA,4341,1,14578,Commercial Bank Management,Lara,Alexander J,26,4,2,0,0,0,0,0,0,3.781
Spring 2022,CNST,4311,1,16645,Structural Steel & Timber Cons,Elzafraney,Mohamed,19,26,2,0,2,0,0,0,0,3.211
Spring 2022,COMM,4303,1,14354,Communication Law and Ethics,Bundage Juvane,Stephanie,23,1,0,0,0,0,0,0,1,3.917
Spring 2022,HISP,2374,4,27621,Spanish American Culture & Civ,Ruisanchez Serra,Jose Ramon,5,1,1,1,1,0,0,0,1,2.706
Spring 2022,MUSI,4198,34,22870,Research in Chamber Music,Torgul,Ertan,3,0,0,0,0,0,0,0,0,3.89
Spring 2022,THEA,7324,1,18011,Graduate Voice/Speech IV,Wetzel,Molly Elizabeth,3,4,0,0,0,0,0,0,0,3.476
Spring 2022,MUSA,6310,4,26381,Applied Piano,Hester,Timothy E,6,0,0,0,0,0,0,0,0,3.945
Spring 2022,MUSI,4312,1,21632,Orchestration,Maroney,Marcus K,7,4,1,0,1,0,0,0,0,3.129
Spring 2022,PHOP,7241,2,21056,Pathophysiology of the Eye,Harrison,Wendy W,6,0,0,0,0,0,0,0,0,4
Spring 2022,PSYC,7392,4,27784,Psychology Practicum,Knee,Clifford R,1,0,0,0,0,0,0,0,0,4
Spring 2022,ARTS,2311,1,23758,"Color, Materials and Methods",Switzer,Christopher P,12,9,1,0,0,0,0,0,2,3.41
Spring 2022,HON,2341,7,25294,Classics of Modernity,Gish,Dustin,4,0,0,0,0,0,0,0,0,3.753
Spring 2022,HRMA,4388,1,21003,Managing Diversity in Hosp Ind,Madera,Juan Manuel,6,1,0,0,0,0,0,0,0,3.904
Spring 2022,PHOP,6457,7,26582,Research Practicum B,Rump,Rachel,1,0,0,0,0,0,0,0,0,4
Spring 2022,MARK,4198,1,27854,Independent Study,Cook,David B,1,0,0,0,0,0,0,0,0,4
Spring 2022,INDS,7301,3,18637,Design Thesis II,Chow,George K,2,0,0,0,0,0,0,0,0,4
Spring 2022,BIOL,6598,5,22693,Special Problems,Alward,Beau Andrew,0,0,0,0,0,1,0,0,0,0
Spring 2022,GENB,7397,1,25006,Selected Topics,Wilbur,Stephen,8,2,0,0,0,0,0,0,0,3.767
Spring 2022,ARCH,6351,1,14008,Criticism in Architecture,Turner,Drexel,3,0,0,0,0,0,0,0,0,4
Spring 2022,MECE,8399,27,22121,Doctoral Dissertation,Chen,Zheng,0,0,0,0,0,0,0,0,0,0
Spring 2022,PSYC,4399,3,18486,Senior Honors Thesis,Zvolensky,Michael J,1,0,0,0,0,0,0,0,0,4
Spring 2022,MUSA,2344,1,18074,Applied Trombone,Kauk,Brian Keith,5,0,0,0,0,0,0,0,0,4
Spring 2022,MECE,6399,27,27432,Masters Thesis,Wang,Su Su,0,0,0,0,0,1,0,0,0,0
