TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",BIOL,8498,32,"Doctoral Research","Kelleher Meisel","Erin S",,,,,,,
"Summer 2016",BIOL,8498,33,"Doctoral Research",Meisel,"Richard P",,,,,,,
"Summer 2016",BIOL,8498,34,"Doctoral Research",Liu,Yu,,,,,,,
"Summer 2016",BIOL,8498,35,"Doctoral Research",Fujita,Masaya,,,,,,,
"Summer 2016",BIOL,8498,39,"Doctoral Research",Bawa-Khalfe,Tasneem,,,,,,,
"Summer 2016",BIOL,8698,5,"Doctoral Research",Roman,"Gregg W",,,,,,,
"Summer 2016",BIOL,8698,6,"Doctoral Research",Graur,Dan,,,,,,,
"Summer 2016",BIOL,8698,9,"Doctoral Research",Azevedo,Ricardo,,,,,,,
"Summer 2016",BIOL,8698,10,"Doctoral Research",Zufall,"Rebecca A",,,,,,,
"Summer 2016",BIOL,8698,11,"Doctoral Research",Wiernasz,"Diane C",,,,,,,
"Summer 2016",BIOL,8698,13,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2016",BIOL,8698,18,"Doctoral Research",Dauwalder,Brigitte,,,,,,,
"Summer 2016",BIOL,8698,20,"Doctoral Research",Ziburkus,Jokubas,,,,,,,
"Summer 2016",BIOL,8698,24,"Doctoral Research",Weihua,Zhang,,,,,,,
"Summer 2016",BIOL,8698,28,"Doctoral Research",Cooper,"Timothy F",,,,,,,
"Summer 2016",BIOL,8698,31,"Doctoral Research",Frigo,"Daniel Edward",,,,,,,
"Summer 2016",BIOL,8698,32,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2016",BIOL,8698,36,"Doctoral Research",Ostrowski,"Elizabeth A",,,,,,,
"Summer 2016",BIOL,8698,39,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Summer 2016",BIOL,8698,40,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2016",BIOL,8699,33,"Doctoral Dissertation",Cooper,"Timothy F",,,,,,,
"Summer 2016",CHEE,8198,1,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Summer 2016",CHEE,8198,2,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Summer 2016",CHEE,8198,3,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Summer 2016",CHEE,8198,4,"Doctoral Research",Myers,"Michael Tolbert",,,,,,,
"Summer 2016",CHEE,8198,6,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Summer 2016",CHEE,8198,7,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Summer 2016",CHEE,8198,8,"Doctoral Research",Nikolaou,Michael,,,,,,,
"Summer 2016",CHEE,8198,9,"Doctoral Research",Vekilov,Peter,,,,,,,
"Summer 2016",CHEE,8198,15,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Summer 2016",CHEE,8298,1,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Summer 2016",CHEE,8298,2,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Summer 2016",CHEE,8298,3,"Doctoral Research",Luss,Dan,,,,,,,
