TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,SOCW,7397,3,18595,Selected Topics in Social Work,Torres,Melissa Irene,21,5,0,0,0,0,0,0,0,3.744
Summer 2021,BIOE,6397,1,18940,Selected Topics,Akay PhD,Metin,16,0,0,0,0,0,0,0,0,3.897
Summer 2021,BIOL,1344,1,13520,Human Anatomy and Physiology 2,Ogletree-Hughes,Monique L,37,27,12,8,1,0,0,0,4,3.024
Summer 2021,BIOL,8398,25,19237,Doctoral Research,Dauwalder,Brigitte,0,0,0,0,0,3,0,0,0,0
Summer 2021,PSYC,6359,3,16144,Directed Rsch in Clinical Psyc,Bick,Johanna R,0,0,0,0,0,1,0,0,0,0
Summer 2021,SOCW,7325,3,18540,Assessment in SW Practice,Leger,Jan Ellen,14,8,0,0,0,0,0,0,0,3.546
Summer 2021,HLT,1353,1,10169,Personal Health,Rafique,Kiran Sajid,60,10,3,0,1,0,0,0,3,3.694
Summer 2021,PHOP,8399,7,19127,Doctoral Dissertation,Das,Vallabh E,1,0,0,0,0,0,0,0,0,4
Summer 2021,BIOL,6398,45,19861,Special Problems,Meisel,Richard P,0,0,0,0,0,2,0,0,0,0
Summer 2021,GEOL,8399,2,19164,Doctoral Dissertation,Mann,Paul,2,0,0,0,0,0,0,0,0,4
Summer 2021,WGSS,2350,1,15942,Intro To Women's Studies,Ford-McCartney,Devan Shontrell,25,1,2,0,2,0,0,0,0,3.567
Summer 2021,FINA,4397,1,18762,Selected Topics in Finance,Kapatos,Nick Gus,15,9,2,1,0,0,0,0,0,3.371
Summer 2021,WGSS,3321,1,15945,Gender in Transnational Persp,Al-Sowayel,Dina,5,1,1,0,0,0,0,0,0,3.477
Summer 2021,BZAN,7320,1,10003,Bus Modeling For Comp Adv,Murray,Michael J,4,2,0,0,0,0,0,0,0,3.667
Summer 2021,PHYS,1102,3,11589,General Physics Laboratory II,Maric,Sladjana,4,6,7,1,1,0,0,0,1,2.579
Summer 2021,MARK,4198,1,19634,Independent Study,Cook,David B,0,1,0,0,0,0,0,0,0,3.33
Summer 2021,KIN,1304,3,14061,Public Hlt Issues in Phys/Obes,Breslin,Whitney L,120,6,1,0,0,0,0,0,0,3.919
Summer 2021,HRMA,6299,2,19518,Professional Paper II,Kim,Jaewook,1,0,0,0,0,0,0,0,0,4
Summer 2021,OPTO,5298,1,19283,Spec Prob Phys Optics,Martinez,Muriel L,0,0,0,0,0,29,0,0,0,0
Summer 2021,HDFS,3320,1,14608,Careers in HDFS,Jordan,Erica F,15,4,3,3,3,0,0,0,1,2.893
Summer 2021,COMM,4398,3,19740,Independent Study,Crixell,Charles A,0,1,0,0,0,0,0,0,0,3
Summer 2021,DIGM,3353,1,14149,Visual Communications Tech,Bravo,Gina C,23,4,0,1,1,0,0,0,1,3.552
Summer 2021,ENGL,1303,1,10238,First Year Writing I,Krajniak,Matthew J,6,5,2,1,5,0,0,0,0,2.298
Summer 2021,PHYS,8398,11,10842,Doctoral Research,Chu,Ching Wu,0,0,0,0,0,1,0,0,0,0
Summer 2021,COSC,8398,106,15794,Doctoral Research,Deng,Zhigang,0,0,0,0,0,3,0,0,0,0
Summer 2021,PHAR,5297,1,18733,Selected Topics in Pharmacy,Gee,Jodie Sue,48,17,1,0,0,0,0,0,0,3.712
Summer 2021,ECON,3370,1,13019,Introduction To Econometrics,Boul,Ruxandra,8,6,8,3,8,0,0,0,2,2.021
Summer 2021,KIN,4690,2,19858,Internship in Sport Admin 1,Walsh,David W,0,1,0,0,0,0,0,0,0,2.67
Summer 2021,GEOL,1340,2,13688,Earth Systems,Lytwyn,Jennifer N,15,17,22,16,10,0,0,0,7,2.113
Summer 2021,INDS,3360,1,16086,Human Factors,Vos,Gordon A,7,0,0,0,0,0,0,0,0,4
Summer 2021,PSYC,8399,8,14283,Doctoral Dissertation,Vincent,John P,1,0,0,0,0,0,0,0,0,4
Summer 2021,LAW,5500,1,14309,Government and Nonprofit Exter,Hancock,Amy Sladczyk,0,0,0,0,0,4,0,0,0,0
Summer 2021,COMM,6398,2,12801,Special Problems,Ni,Lan,1,0,0,0,0,0,0,0,0,4
