TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2020,ELCS,8311,4,Lab of Practice-Lit Revw Devel,Butcher,Keith,1,0,0,0,0,0,0,0,4
Fall 2020,BIOL,1161,19,Intro To Biol Science Lab 1,Medrano,Ana I,16,4,0,0,0,1,0,1,3.425
Fall 2020,ACCT,2301,1,Prin of Financial Accounting,Sykes,Mary Reeves,32,14,1,0,0,11,0,3,2.746
Fall 2020,MUSI,3363,1,History of Music II,Bertagnolli,Paul A,16,27,2,0,0,25,0,2,1.889
Fall 2020,GEOL,1130,5,Physical Geology Lab,Hauptvogel,Daniel William,12,2,0,0,0,3,0,0,2.667
Fall 2020,GEOL,8398,10,Doctoral Research,Mann,Paul,0,0,0,0,0,1,0,0,0
Fall 2020,BIOL,1361,11,Intro To Biological Science 1,Sirrieh,Rita Evelyn,14,5,2,0,0,2,0,0,3.218
Fall 2020,LAW,5386,1,Trial Advocacy,Phillips,Kenneth Ray,9,9,1,0,0,5,0,0,2.653
Fall 2020,ARCH,6397,15,Sel Tpcs-Arc/Urbn Desgn,Adams,Vera A,3,0,0,0,0,0,0,0,3.89
Fall 2020,LAW,6354,1,Houston Journal of Int'l Law,Berman,Emily,0,0,0,0,0,13,0,0,0
Fall 2020,ECE,8399,5,Doctoral Dissertation,Roysam,Badrinath,1,0,0,0,0,0,0,0,2
Fall 2020,CHNS,1501,1,Elementary Chinese I,Zhang,Jing,13,4,0,0,0,3,0,2,3.016
Fall 2020,KIN,1352,4,"Foundations of KIN, HLT, FIT",Gray,Jon Phillip,42,1,1,0,0,3,0,0,3.44
Fall 2020,MUSI,4197,2,Selected Topics in Music,Suits,Brian J,3,0,0,0,0,0,0,0,3.89
Fall 2020,ACCT,4105,1,PPA Colloquium 1,Newman,Michael Ray,0,0,0,0,0,71,0,3,0
Fall 2020,MUSI,1160,4,Group Piano I,Van Kekerix,Todd Evan,3,1,0,0,0,0,0,0,2.868
Fall 2020,BCHS,3305,1,General Biochemistry II,Fujita,Masaya,32,29,1,0,3,11,0,0,2.834
Fall 2020,THEA,1331,19,Introduction To Theatre,Wallace,Steven W.,27,2,0,0,0,5,0,1,3.353
Fall 2020,HLT,3381,3,Hlt Promotn & Disease Preventn,Ripperger-Suhler,Ken,59,11,0,0,0,6,0,0,3.402
Fall 2020,CUIN,7303,3,Professional Seminar I,Gist,Conra D.,22,2,0,0,1,0,0,1,3.76
Fall 2020,KIN,4691,1,Internship in Sport Admin 2,Walsh,David W,17,3,0,0,0,0,0,0,3.817
Fall 2020,MUED,2342,5,Music for Children,Bigwood,Cora Morgan,16,4,0,0,0,0,0,0,3.751
